comparison,case,configuration,n_each,baseline_min_s,candidate_min_s,baseline_median_s,candidate_median_s,baseline_max_s,candidate_max_s,baseline_sample_variance_s2,candidate_sample_variance_s2,baseline_cv_pct,candidate_cv_pct,min_change_pct,median_change_pct,median_ci_lower_pct,median_ci_upper_pct,median_ci_gate,cycles_min_over_1pct,cycle_minima_median_change_pct
writer/versions-local,oneshot-small,c8-none,48,0.003902247,0.003651796,0.0048071615,0.0042042045,0.006541087,0.005290013,3.053355e-07,1.69135087e-07,11.3372961,9.54896706,-6.41812269,-12.5428904,-15.7226194,-8.59139026,PASS,0,-8.9717674
writer/versions-local,stream-single,c8-none,48,0.005217254,0.006397153,0.0059251815,0.007303839,0.008389377,0.009505507,5.90147634e-07,4.8250136e-07,12.4036778,9.39458711,22.615326,23.2677683,17.8069658,28.5767521,REGRESSION,8,18.1101545
writer/versions-local,stream-wide,c8-lz4,48,0.054343527,0.014257808,0.0584091985,0.0223213235,0.074350462,0.052095523,1.78962865e-05,9.37688057e-05,7.08334111,36.0956087,-73.7635579,-61.7845749,-64.6501125,-48.9610665,PASS,0,-68.1067789
writer/versions-local,stream-wide,c8-none,48,0.023989479,0.021994699,0.025459958,0.0271439375,0.040631446,0.044820072,1.0066252e-05,1.78707441e-05,12.1261463,15.3665204,-8.31522852,6.61422733,4.99030561,8.59224052,REGRESSION,2,-8.04561766
writer/versions-shared,oneshot-small,c8-none,48,0.398409525,0.460261431,0.510922575,0.527675718,0.613632762,0.581008664,0.00201197433,0.00122789659,8.7114841,6.64888418,15.5247056,3.27899849,-0.629054894,6.39042045,INCONCLUSIVE,5,4.41924234
writer/versions-shared,stream-single,c8-none,48,3.27481919,3.13105965,3.59850035,3.49671125,3.84201033,3.75131402,0.0163720025,0.015440501,3.56634044,3.55057106,-4.38984652,-2.82865317,-4.35758609,-1.14310126,PASS,2,-2.23131962
writer/versions-shared,stream-wide,c8-lz4,48,0.197442259,0.13224046,0.245238887,0.208704186,0.289915001,0.231916001,0.000440103739,0.000288290181,8.51801575,8.18748904,-33.0232238,-14.897597,-18.192646,-11.4296095,PASS,0,-11.1656484
writer/versions-shared,stream-wide,c8-none,48,2.78063053,1.76306806,6.11156782,6.08603648,9.17448214,8.89987214,2.50818945,2.73064758,25.3204256,27.062315,-36.5946668,-0.417754359,-10.3092911,12.0288167,INCONCLUSIVE,4,-2.61179544
writer/disks-baseline,oneshot-small,c8-none,48,0.003902247,0.398409525,0.0048071615,0.510922575,0.006541087,0.613632762,3.053355e-07,0.00201197433,11.3372961,8.7114841,10109.7465,10528.363,9828.49177,11570.2185,REGRESSION,8,10664.1954
writer/disks-baseline,stream-single,c8-none,48,0.005217254,3.27481919,0.0059251815,3.59850035,0.008389377,3.84201033,5.90147634e-07,0.0163720025,12.4036778,3.56634044,62669.0196,60632.3227,57539.1322,63463.0895,REGRESSION,8,61076.4834
writer/disks-baseline,stream-wide,c8-lz4,48,0.054343527,0.197442259,0.0584091985,0.245238887,0.074350462,0.289915001,1.78962865e-05,0.000440103739,7.08334111,8.51801575,263.322497,319.863469,297.209262,340.375652,REGRESSION,8,284.713025
writer/disks-baseline,stream-wide,c8-none,48,0.023989479,2.78063053,0.025459958,6.11156782,0.040631446,9.17448214,1.0066252e-05,2.50818945,12.1261463,25.3204256,11491.0418,23904.6265,22487.1937,27550.7726,REGRESSION,8,18370.452
writer/disks-candidate,oneshot-small,c8-none,48,0.003651796,0.460261431,0.0042042045,0.527675718,0.005290013,0.581008664,1.69135087e-07,0.00122789659,9.54896706,6.64888418,12503.7005,12451.143,11331.6515,13385.9268,REGRESSION,8,12247.6981
writer/disks-candidate,stream-single,c8-none,48,0.006397153,3.13105965,0.007303839,3.49671125,0.009505507,3.75131402,4.8250136e-07,0.015440501,9.39458711,3.55057106,48844.5798,47774.9772,46210.0659,50546.5407,REGRESSION,8,50540.388
writer/disks-candidate,stream-wide,c8-lz4,48,0.014257808,0.13224046,0.0223213235,0.208704186,0.052095523,0.231916001,9.37688057e-05,0.000288290181,36.0956087,8.18748904,827.495026,834.999155,605.861585,908.345353,REGRESSION,8,971.567277
writer/disks-candidate,stream-wide,c8-none,48,0.021994699,1.76306806,0.0271439375,6.08603648,0.044820072,8.89987214,1.78707441e-05,2.73064758,15.3665204,27.062315,7915.87717,22321.3472,20600.0934,26348.9824,REGRESSION,8,19461.9187
query/versions-local,flight-gather-lz4,collect,48,0.0662462567,0.0700563001,0.072165773,0.0754009045,0.079664439,0.0848826529,9.79803639e-06,1.11431861e-05,4.33574495,4.40813499,5.75133394,4.48291672,2.18269778,6.07533091,REGRESSION,8,6.51065872
query/versions-local,flight-gather-none,collect,48,0.0678780107,0.0688940422,0.0715612159,0.0737581851,0.0808739113,0.082033548,7.47133771e-06,9.98135199e-06,3.7915283,4.26875109,1.49684924,3.07005576,1.5782506,4.07984834,REGRESSION,5,3.10023314
query/versions-shared,flight-gather-lz4,collect,48,1.81972856,1.83411933,2.02397184,2.0296222,2.40374912,2.25215542,0.0087647049,0.00789330258,4.60909588,4.38155368,0.790819739,0.27917183,-1.61111625,1.275429,INCONCLUSIVE,2,-1.10014057
query/versions-shared,flight-gather-none,collect,48,1.89173767,1.83352207,2.02082113,2.04947809,2.37822012,2.25917511,0.00835720135,0.0102711945,4.47423413,4.94963114,-3.07736151,1.41808501,-0.730188329,2.17822587,INCONCLUSIVE,2,0.450711875
query/disks-baseline,flight-gather-lz4,collect,48,0.0662462567,1.81972856,0.072165773,2.02397184,0.079664439,2.40374912,9.79803639e-06,0.0087647049,4.33574495,4.60909588,2646.9153,2704.61464,2633.98177,2758.30063,REGRESSION,8,2792.30974
query/disks-baseline,flight-gather-none,collect,48,0.0678780107,1.89173767,0.0715612159,2.02082113,0.0808739113,2.37822012,7.47133771e-06,0.00835720135,3.7915283,4.47423413,2686.96687,2723.90553,2670.39548,2798.97943,REGRESSION,8,2791.88559
query/disks-candidate,flight-gather-lz4,collect,48,0.0700563001,1.83411933,0.0754009045,2.0296222,0.0848826529,2.25215542,1.11431861e-05,0.00789330258,4.40813499,4.38155368,2518.0648,2591.77433,2499.86869,2643.64392,REGRESSION,8,2585.63757
query/disks-candidate,flight-gather-none,collect,48,0.0688940422,1.83352207,0.0737581851,2.04947809,0.082033548,2.25917511,9.98135199e-06,0.0102711945,4.26875109,4.94963114,2561.3652,2678.64496,2584.7068,2753.94763,REGRESSION,8,2717.56847
