comparison,case,configuration,n_each,baseline_min_s,candidate_min_s,baseline_median_s,candidate_median_s,baseline_max_s,candidate_max_s,baseline_sample_variance_s2,candidate_sample_variance_s2,baseline_cv_pct,candidate_cv_pct,min_change_pct,median_change_pct,median_ci_lower_pct,median_ci_upper_pct,median_ci_gate,cycles_min_over_1pct,cycle_minima_median_change_pct
writer/versions-local,oneshot-small,c8-none,48,0.003699511,0.003372684,0.0045721645,0.004020109,0.005379488,0.005654136,1.60419125e-07,1.74129773e-07,8.77948322,10.2011085,-8.83432973,-12.0742703,-15.0054399,-6.98667529,PASS,0,-9.26748276
writer/versions-local,stream-single,c8-none,48,0.005351628,0.005207141,0.005771865,0.005580788,0.00794144,0.008991723,3.32723125e-07,3.22908893e-07,9.73753759,9.96307621,-2.69987002,-3.31048976,-5.12843287,-1.12019613,PASS,1,-1.35936297
writer/versions-local,stream-wide,c8-lz4,48,0.053783085,0.014355559,0.0590524835,0.02044583,0.065181709,0.045727525,7.05392421e-06,7.02645936e-05,4.47944503,35.479121,-73.3084129,-65.3768499,-68.1058102,-53.722155,PASS,0,-71.7586432
writer/versions-local,stream-wide,c8-none,48,0.023627074,0.021568256,0.0252483245,0.025567028,0.027817799,0.031158725,7.22508794e-07,7.01614723e-06,3.34728128,10.3283633,-8.71380857,1.26227584,-2.24838351,4.34027792,INCONCLUSIVE,1,-8.68529127
writer/versions-shared,oneshot-small,c8-none,48,0.455057425,0.435479001,0.557174704,0.546581548,0.602287295,0.624434835,0.00122387566,0.00136511053,6.36175908,6.83294226,-4.30240733,-1.9012271,-3.90464644,1.2117105,INCONCLUSIVE,3,-2.74875361
writer/versions-shared,stream-single,c8-none,48,3.52303989,3.48908457,3.77110149,3.70725143,3.89557029,3.84339856,0.0105039483,0.00871877361,2.74128541,2.53297805,-0.963807254,-1.69314082,-3.11112314,-0.0849787352,PASS,2,-0.652491397
writer/versions-shared,stream-wide,c8-lz4,48,0.160970189,0.186685093,0.258000652,0.217349461,0.308944592,0.250566949,0.000613285082,0.000182686923,9.62702903,6.1808683,15.974948,-15.7562356,-16.9313162,-13.0122994,PASS,2,-13.3701513
writer/versions-shared,stream-wide,c8-none,48,1.42889001,0.905577346,7.91753615,8.04056194,9.05273221,9.37212778,3.03141644,5.03460355,23.6917362,31.1993911,-36.6237192,1.55383932,-7.2738125,6.36616217,INCONCLUSIVE,5,28.6121796
writer/disks-baseline,oneshot-small,c8-none,48,0.003699511,0.455057425,0.0045721645,0.557174704,0.005379488,0.602287295,1.60419125e-07,0.00122387566,8.77948322,6.36175908,12200.475,12086.2349,11784.5286,12585.6364,REGRESSION,8,12219.1863
writer/disks-baseline,stream-single,c8-none,48,0.005351628,3.52303989,0.005771865,3.77110149,0.00794144,3.89557029,3.32723125e-07,0.0105039483,9.73753759,2.74128541,65731.1805,65235.9267,63606.959,66772.4298,REGRESSION,8,65315.8387
