comparison,case,reader,n_each,baseline_min_s,candidate_min_s,min_change_pct,baseline_median_s,candidate_median_s,median_change_pct,baseline_max_s,candidate_max_s,baseline_cv_pct,candidate_cv_pct,median_ci_lower_pct,median_ci_upper_pct,median_ci_gate
crc-v5-v7,stream-single,c1-none,96,0.012755275,0.013066055,2.43648216,0.0718887265,0.082072058,14.1654081,0.115887047,0.117772747,52.4957928,45.9780055,-37.4019557,71.6837726,INCONCLUSIVE
crc-v5-v7,stream-single,c8-none,96,0.006387312,0.00643108,0.685233475,0.010803541,0.0106794605,-1.14851695,0.018136081,0.017652724,24.3986773,23.5702877,-5.56537446,7.62358135,INCONCLUSIVE
crc-v5-v7,stream-wide,c1-none,96,0.05638473,0.055630642,-1.33739755,0.058854835,0.0573084915,-2.62738567,0.075784458,0.062123686,3.90212122,1.97072799,-3.11369492,-1.95460572,PASS
crc-v5-v7,stream-wide,c8-none,96,0.028950756,0.028428379,-1.80436393,0.0303668,0.0297629135,-1.98864055,0.04431299,0.049638644,5.72275737,12.9157271,-3.22557702,-0.529291226,PASS
juicefs-flight-gather/query/disks-old,flight-gather-lz4,collect,16,0.0653243731,1.97182205,2918.50896,0.0723803525,2.10949569,2814.45898,0.0838597137,2.18229232,6.12442533,2.24676813,2734.90643,2870.62275,REGRESSION
juicefs-flight-gather/query/disks-old,flight-gather-none,collect,16,0.0673728599,1.96704643,2819.64217,0.0734929105,2.11032553,2771.46817,0.0809213198,2.19603792,4.73154732,2.56243085,2729.40482,2863.46154,REGRESSION
juicefs-flight-gather/query/disks-v7,flight-gather-lz4,collect,16,0.0710607157,2.04752956,2781.38044,0.0750352596,2.1177775,2722.37645,0.0802637758,2.21070578,3.72502017,2.4135845,2627.81934,2793.00083,REGRESSION
juicefs-flight-gather/query/disks-v7,flight-gather-none,collect,16,0.071281672,2.04947992,2775.18497,0.0760313999,2.13226356,2704.45128,0.0796431983,2.18323206,3.25239552,1.96350818,2629.02527,2774.30045,REGRESSION
juicefs-flight-gather/query/versions-juicefs,flight-gather-lz4,collect,16,1.97182205,2.04752956,3.83946981,2.10949569,2.1177775,0.392596755,2.18229232,2.21070578,2.24676813,2.4135845,-1.60372451,2.21687358,INCONCLUSIVE
juicefs-flight-gather/query/versions-juicefs,flight-gather-none,collect,16,1.96704643,2.04947992,4.19072429,2.11032553,2.13226356,1.03955672,2.19603792,2.18323206,2.56243085,1.96350818,-1.19638775,2.83508348,INCONCLUSIVE
juicefs-flight-gather/query/versions-local,flight-gather-lz4,collect,16,0.0653243731,0.0710607157,8.7813206,0.0723803525,0.0750352596,3.6679941,0.0838597137,0.0802637758,6.12442533,3.72502017,0.356512691,6.59784319,INCONCLUSIVE
juicefs-flight-gather/query/versions-local,flight-gather-none,collect,16,0.0673728599,0.071281672,5.80176064,0.0734929105,0.0760313999,3.45406025,0.0809213198,0.0796431983,4.73154732,3.25239552,1.12448876,6.65711185,REGRESSION
juicefs-writer-and-control/query/disks-old,coalesce-control-lz4,collect,16,0.0709762634,0.0722041819,1.73004113,0.0826128293,0.0836935285,1.30814944,0.096837624,0.104267157,7.47539212,8.83200247,-4.38017451,3.52925198,INCONCLUSIVE
juicefs-writer-and-control/query/disks-old,coalesce-control-none,collect,16,0.0722244862,0.0752844419,4.23672904,0.0810910305,0.0854714424,5.40184519,0.0934786741,0.0987574491,8.34011797,8.465672,-1.16517579,15.4910627,INCONCLUSIVE
juicefs-writer-and-control/query/disks-v7,coalesce-control-lz4,collect,16,0.0751550347,0.0764958067,1.78400826,0.0796015982,0.0832771489,4.61743328,0.085911612,0.112797555,4.31651424,10.9958725,0.684763454,12.8015701,INCONCLUSIVE
juicefs-writer-and-control/query/disks-v7,coalesce-control-none,collect,16,0.0756766917,0.0765130441,1.10516506,0.0812545521,0.0860021973,5.84292831,0.0985734537,0.106057863,8.3887164,10.8380868,-2.61386556,13.7307966,INCONCLUSIVE
juicefs-writer-and-control/query/versions-juicefs,coalesce-control-lz4,collect,16,0.0722041819,0.0764958067,5.94373435,0.0836935285,0.0832771489,-0.497505198,0.104267157,0.112797555,8.83200247,10.9958725,-3.70630322,11.4231953,INCONCLUSIVE
juicefs-writer-and-control/query/versions-juicefs,coalesce-control-none,collect,16,0.0752844419,0.0765130441,1.63194693,0.0854714424,0.0860021973,0.620973391,0.0987574491,0.106057863,8.465672,10.8380868,-7.05938271,10.0103755,INCONCLUSIVE
juicefs-writer-and-control/query/versions-local,coalesce-control-lz4,collect,16,0.0709762634,0.0751550347,5.88756168,0.0826128293,0.0796015982,-3.64499207,0.096837624,0.085911612,7.47539212,4.31651424,-7.15743431,-0.65522401,PASS
juicefs-writer-and-control/query/versions-local,coalesce-control-none,collect,16,0.0722244862,0.0756766917,4.7798271,0.0810910305,0.0812545521,0.201651917,0.0934786741,0.0985734537,8.34011797,8.3887164,-2.70070431,7.45143132,INCONCLUSIVE
juicefs-writer-and-control/writer/disks-old,oneshot-small,c8-none,16,0.00457851,0.426877731,9223.50767,0.0050003405,0.538584776,10670.962,0.005507884,0.621899069,6.73723166,10.2371884,9733.38923,11592.8496,REGRESSION
juicefs-writer-and-control/writer/disks-old,stream-single,c8-none,16,0.005347463,3.28279572,61289.7791,0.0057833145,3.74176307,64599.284,0.006379613,4.89817297,6.1906854,9.5512202,59154.1148,66723.6004,REGRESSION
juicefs-writer-and-control/writer/disks-old,stream-wide,c8-lz4,16,0.014360831,0.214451438,1393.308,0.0584558855,0.259485215,343.899212,0.066655718,0.307038224,29.0182316,8.2728091,318.209943,379.694328,REGRESSION
juicefs-writer-and-control/writer/disks-old,stream-wide,c8-none,16,0.023282457,2.94157119,12534.2817,0.0247563445,6.7919621,27335.2383,0.026382698,8.70685428,3.67845263,24.4748568,24566.731,31190.9107,REGRESSION
juicefs-writer-and-control/writer/disks-v7,oneshot-small,c8-none,16,0.004395733,0.411014192,9250.2993,0.004924561,0.523030088,10520.847,0.005640315,0.621066173,6.58040049,9.70429205,9955.1006,11180.1005,REGRESSION
juicefs-writer-and-control/writer/disks-v7,stream-single,c8-none,16,0.006417199,3.18023692,49458.0224,0.0072514205,3.60568439,49623.8354,0.008814965,3.74389124,8.0353131,4.36077217,47538.9243,52658.9113,REGRESSION
juicefs-writer-and-control/writer/disks-v7,stream-wide,c8-lz4,16,0.049624397,0.205255983,313.619097,0.0666654845,0.222052015,233.083928,0.078307021,0.239915663,12.2993235,4.54352544,201.6638,248.995684,REGRESSION
juicefs-writer-and-control/writer/disks-v7,stream-wide,c8-none,16,0.027707406,4.5368178,16274.0258,0.0318385105,6.97999948,21823.1345,0.03728933,8.83052886,10.0563488,18.1216684,19106.1362,25010.0825,REGRESSION
juicefs-writer-and-control/writer/versions-juicefs,oneshot-small,c8-none,16,0.426877731,0.411014192,-3.71617863,0.538584776,0.523030088,-2.88806669,0.621899069,0.621066173,10.2371884,9.70429205,-9.72141715,6.0547066,INCONCLUSIVE
juicefs-writer-and-control/writer/versions-juicefs,stream-single,c8-none,16,3.28279572,3.18023692,-3.12413,3.74176307,3.60568439,-3.63675295,4.89817297,3.74389124,9.5512202,4.36077217,-5.72349737,0.108463095,PASS
juicefs-writer-and-control/writer/versions-juicefs,stream-wide,c8-lz4,16,0.214451438,0.205255983,-4.28789617,0.259485215,0.222052015,-14.4259474,0.307038224,0.239915663,8.2728091,4.54352544,-17.5576562,-11.9136745,PASS
juicefs-writer-and-control/writer/versions-juicefs,stream-wide,c8-none,16,2.94157119,4.5368178,54.2311064,6.7919621,6.97999948,2.76852812,8.70685428,8.83052886,24.4748568,18.1216684,-14.439292,24.7248017,INCONCLUSIVE
juicefs-writer-and-control/writer/versions-local,oneshot-small,c8-none,16,0.00457851,0.004395733,-3.99206292,0.0050003405,0.004924561,-1.5154868,0.005507884,0.005640315,6.73723166,6.58040049,-8.42538525,4.18822958,INCONCLUSIVE
juicefs-writer-and-control/writer/versions-local,stream-single,c8-none,16,0.005347463,0.006417199,20.0045517,0.0057833145,0.0072514205,25.3852008,0.006379613,0.008814965,6.1906854,8.0353131,14.2081917,31.5749169,REGRESSION
juicefs-writer-and-control/writer/versions-local,stream-wide,c8-lz4,16,0.014360831,0.049624397,245.553798,0.0584558855,0.0666654845,14.0440931,0.066655718,0.078307021,29.0182316,12.2993235,6.89706416,29.2811168,REGRESSION
juicefs-writer-and-control/writer/versions-local,stream-wide,c8-none,16,0.023282457,0.027707406,19.005507,0.0247563445,0.0318385105,28.6074788,0.026382698,0.03728933,3.67845263,10.0563488,18.1281664,41.2911723,REGRESSION
pre-eio-v7,oneshot-small,c1-lz4,96,0.007644256,0.008021574,4.93596761,0.010002162,0.0106125005,6.10206573,0.016937151,0.015802354,20.0195466,19.9629023,-5.04880259,22.2343013,INCONCLUSIVE
pre-eio-v7,oneshot-small,c1-none,96,0.00650876,0.006652162,2.20321536,0.0078659355,0.008292631,5.42459953,0.012766809,0.013568213,18.5510927,19.1761266,-2.26163559,15.5693711,INCONCLUSIVE
pre-eio-v7,oneshot-small,c8-lz4,96,0.004494397,0.004648251,3.42324009,0.005334995,0.005731067,7.42403695,0.013864775,0.010941715,28.4955071,22.6304039,2.9965154,23.9946603,REGRESSION
pre-eio-v7,oneshot-small,c8-none,96,0.003971244,0.004025063,1.35521766,0.004901529,0.0048538135,-0.973481948,0.010176098,0.014824244,19.6916795,28.5910776,-5.01099857,2.91086872,INCONCLUSIVE
pre-eio-v7,oneshot-wide,c1-lz4,96,0.15497947,0.16676006,7.60138746,0.243909449,0.245716077,0.74069619,0.387527403,0.391712009,18.8508852,18.4477538,-6.36975834,4.93504721,INCONCLUSIVE
pre-eio-v7,oneshot-wide,c1-none,96,0.106263229,0.106547305,0.267332362,0.111961401,0.111040788,-0.822259718,0.225965011,0.195495216,17.8481847,13.9855825,-6.90111545,0.0403591245,PASS
