revision,process,case,mode,warmup,sample,seconds,logical_bytes
before,0,small_reads,File,true,0,0.002713221,1048576
before,0,small_reads,RetryReader,true,1,0.002886084,1048576
before,0,small_reads,File,false,2,0.002873546,1048576
before,0,small_reads,RetryReader,false,3,0.002722381,1048576
before,0,small_reads,RetryReader,false,4,0.002579088,1048576
before,0,small_reads,File,false,5,0.002828694,1048576
before,0,small_reads,File,false,6,0.002794107,1048576
before,0,small_reads,RetryReader,false,7,0.002567046,1048576
before,0,small_reads,RetryReader,false,8,0.002630463,1048576
before,0,small_reads,File,false,9,0.003080537,1048576
before,0,small_reads,File,false,10,0.003052466,1048576
before,0,small_reads,RetryReader,false,11,0.003234259,1048576
before,0,small_reads,RetryReader,false,12,0.002662129,1048576
before,0,small_reads,File,false,13,0.002959320,1048576
before,0,wide_reads,File,true,0,0.186537396,1073741824
before,0,wide_reads,RetryReader,true,1,0.307670316,1073741824
before,0,wide_reads,File,false,2,0.188895346,1073741824
before,0,wide_reads,RetryReader,false,3,0.317997377,1073741824
before,0,wide_reads,RetryReader,false,4,0.316529568,1073741824
before,0,wide_reads,File,false,5,0.190779650,1073741824
before,0,wide_reads,File,false,6,0.195896112,1073741824
before,0,wide_reads,RetryReader,false,7,0.309849931,1073741824
before,0,wide_reads,RetryReader,false,8,0.303672811,1073741824
before,0,wide_reads,File,false,9,0.205628835,1073741824
before,0,wide_reads,File,false,10,0.183319114,1073741824
before,0,wide_reads,RetryReader,false,11,0.312688947,1073741824
before,0,wide_reads,RetryReader,false,12,0.326260825,1073741824
before,0,wide_reads,File,false,13,0.202213251,1073741824
after,1,small_reads,File,true,0,0.002332069,1048576
after,1,small_reads,RetryReader,true,1,0.002338055,1048576
after,1,small_reads,File,false,2,0.001671067,1048576
after,1,small_reads,RetryReader,false,3,0.001568926,1048576
after,1,small_reads,RetryReader,false,4,0.001901197,1048576
after,1,small_reads,File,false,5,0.002221647,1048576
after,1,small_reads,File,false,6,0.002333722,1048576
after,1,small_reads,RetryReader,false,7,0.002396690,1048576
after,1,small_reads,RetryReader,false,8,0.002828505,1048576
after,1,small_reads,File,false,9,0.001798907,1048576
after,1,small_reads,File,false,10,0.001520776,1048576
after,1,small_reads,RetryReader,false,11,0.001936486,1048576
after,1,small_reads,RetryReader,false,12,0.002964333,1048576
after,1,small_reads,File,false,13,0.002643588,1048576
after,1,wide_reads,File,true,0,0.203711712,1073741824
after,1,wide_reads,RetryReader,true,1,0.203255691,1073741824
after,1,wide_reads,File,false,2,0.184172153,1073741824
after,1,wide_reads,RetryReader,false,3,0.191632943,1073741824
after,1,wide_reads,RetryReader,false,4,0.192693387,1073741824
after,1,wide_reads,File,false,5,0.188017273,1073741824
after,1,wide_reads,File,false,6,0.184170970,1073741824
after,1,wide_reads,RetryReader,false,7,0.188181752,1073741824
after,1,wide_reads,RetryReader,false,8,0.189519685,1073741824
after,1,wide_reads,File,false,9,0.187354788,1073741824
after,1,wide_reads,File,false,10,0.180301800,1073741824
after,1,wide_reads,RetryReader,false,11,0.187004419,1073741824
after,1,wide_reads,RetryReader,false,12,0.190570197,1073741824
after,1,wide_reads,File,false,13,0.204480942,1073741824
after,2,small_reads,File,true,0,0.002689370,1048576
after,2,small_reads,RetryReader,true,1,0.002801954,1048576
after,2,small_reads,File,false,2,0.002945828,1048576
after,2,small_reads,RetryReader,false,3,0.003452192,1048576
after,2,small_reads,RetryReader,false,4,0.002968161,1048576
after,2,small_reads,File,false,5,0.002897007,1048576
after,2,small_reads,File,false,6,0.003820222,1048576
after,2,small_reads,RetryReader,false,7,0.004820521,1048576
after,2,small_reads,RetryReader,false,8,0.003511152,1048576
after,2,small_reads,File,false,9,0.002353669,1048576
after,2,small_reads,File,false,10,0.003317245,1048576
after,2,small_reads,RetryReader,false,11,0.003601289,1048576
after,2,small_reads,RetryReader,false,12,0.003321910,1048576
after,2,small_reads,File,false,13,0.002817419,1048576
after,2,wide_reads,File,true,0,0.202393000,1073741824
after,2,wide_reads,RetryReader,true,1,0.204800835,1073741824
after,2,wide_reads,File,false,2,0.210849144,1073741824
after,2,wide_reads,RetryReader,false,3,0.202325927,1073741824
after,2,wide_reads,RetryReader,false,4,0.196155782,1073741824
after,2,wide_reads,File,false,5,0.243920350,1073741824
after,2,wide_reads,File,false,6,0.255846573,1073741824
after,2,wide_reads,RetryReader,false,7,0.254366663,1073741824
after,2,wide_reads,RetryReader,false,8,0.228429223,1073741824
after,2,wide_reads,File,false,9,0.219976766,1073741824
after,2,wide_reads,File,false,10,0.233487620,1073741824
after,2,wide_reads,RetryReader,false,11,0.200384815,1073741824
after,2,wide_reads,RetryReader,false,12,0.212541818,1073741824
after,2,wide_reads,File,false,13,0.219933111,1073741824
before,3,small_reads,File,true,0,0.001581407,1048576
before,3,small_reads,RetryReader,true,1,0.001549343,1048576
before,3,small_reads,File,false,2,0.001543174,1048576
before,3,small_reads,RetryReader,false,3,0.001576701,1048576
before,3,small_reads,RetryReader,false,4,0.001478877,1048576
before,3,small_reads,File,false,5,0.001488763,1048576
before,3,small_reads,File,false,6,0.003400581,1048576
